sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
338,closed,3,1108.0,100,1.71541,0.0731,5.63463,11.08
338,virtual,1,200.0,50,1.78534,0.105,5.355,4.0
338,virtual,2,370.0,50,1.7975,0.10541,5.61351,7.4
338,virtual,3,568.0,50,1.68993,0.06162,5.8213,11.36
340,closed,1,400.0,100,1.73082,0.0775,5.2725,4.0
340,closed,2,734.0,100,1.741,0.08311,5.5604,7.34
340,closed,3,1099.0,100,1.74277,0.08371,5.68411,10.99
340,virtual,1,200.0,50,1.77774,0.095,5.2575,4.0
340,virtual,2,361.0,50,1.81125,0.1108,5.57572,7.22
340,virtual,3,528.0,50,1.6865,0.0625,5.79545,10.56
342,closed,1,400.0,100,1.72674,0.0775,5.29875,4.0
342,closed,2,739.0,100,1.7896,0.09878,5.55187,7.39
342,closed,3,1130.0,100,1.75406,0.08761,5.65383,11.3
342,virtual,1,200.0,50,1.67145,0.06,5.35917,4.0
