sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
336,virtual,2,373.0,50,1.67842,0.06166,5.58803,7.46
336,virtual,3,556.0,50,1.67869,0.05935,5.69275,11.12
338,closed,1,400.0,100,1.72636,0.0825,5.35583,4.0
338,closed,2,737.0,100,1.71678,0.07598,5.57531,7.37
338,closed,3,1101.0,100,1.75016,0.08447,5.75159,11.01
338,virtual,1,200.0,50,1.7201,0.08,5.19167,4.0
338,virtual,2,336.0,50,1.68179,0.05952,5.59673,6.72
338,virtual,3,503.0,50,1.74087,0.0835,5.75149,10.06
340,closed,1,400.0,100,1.73407,0.0825,5.36708,4.0
340,closed,2,746.0,100,1.71895,0.07775,5.59026,7.46
340,closed,3,1105.0,100,1.76607,0.0914,5.75958,11.05
340,virtual,1,200.0,50,1.7584,0.085,5.25917,4.0
340,virtual,2,363.0,50,1.72775,0.07989,5.50505,7.26
340,virtual,3,528.0,50,1.77408,0.0947,5.619,10.56
342,closed,1,400.0,100,1.74078,0.085,5.37708,4.0
342,closed,2,743.0,100,1.7643,0.08883,5.59646,7.43
342,closed,3,1123.0,100,1.73709,0.08459,5.7382,11.23
342,virtual,1,200.0,50,1.85484,0.12,5.26917,4.0
